adname,区内排名,name,type,rating,cost,性价比
萧山区,1,老姑东北人(立涛园店),餐饮服务;中餐厅;东北菜,4.9,78,1.1214
萧山区,2,湘香蒸菜馆(湘湖路店),餐饮服务;中餐厅;湖南菜(湘菜),4.9,83,1.1059
萧山区,3,老秦凉都黄牛肉馆(萧山店),餐饮服务;中餐厅;中餐厅,4.9,83,1.1059
萧山区,4,老秦凉都黄牛肉馆(市心北路店),餐饮服务;中餐厅;中餐厅,4.9,85,1.1
萧山区,5,超火锅(杭州萧山总店),餐饮服务;餐饮相关场所;餐饮相关,4.9,130,1.0051
萧山区,6,乔村二十八道(钱江世纪城店),餐饮服务;中餐厅;中餐厅,4.9,166,0.9574
萧山区,7,荆九爷爆炒桥头三嫩(萧山店),餐饮服务;中餐厅;特色/地方风味餐厅,4.8,55,1.1924
萧山区,8,鸟鸟好吃店·成都土砂锅串串(杭州总店),餐饮服务;中餐厅;火锅店,4.8,75,1.1084
萧山区,9,照云川菜(萧山店),餐饮服务;中餐厅;四川菜(川菜),4.8,96,1.0492
萧山区,10,三两好友深夜食堂钱江世纪城店(焗海鲜·烤乳猪·罗氏虾),餐饮服务;中餐厅;中餐厅,4.8,100,1.0401
西湖区,1,黄龙海鲜大排档(杭州总店),餐饮服务;中餐厅;海鲜酒楼,4.9,160,0.9643
西湖区,2,THREE FINGERS,体育休闲服务;娱乐场所;酒吧|餐饮服务;快餐厅;快餐厅,4.8,60,1.1676
西湖区,3,江渔儿成都冷锅鱼(浙港国际店),餐饮服务;中餐厅;中餐厅,4.8,66,1.1416
西湖区,4,黄龙海鲜大排档(三墩店),餐饮服务;中餐厅;海鲜酒楼,4.8,87,1.0721
西湖区,5,18号酒馆(天目里店),餐饮服务;外国餐厅;美式风味,4.8,125,0.9925
西湖区,6,月芽·自由餐厅·西溪湿地餐厅,餐饮服务;餐饮相关场所;餐饮相关,4.8,226,0.8848
西湖区,7,德悦悦品海鲜姿造(文一路),餐饮服务;中餐厅;海鲜酒楼,4.8,235,0.8785
西湖区,8,月芽·自由餐厅·虎跑1934店,餐饮服务;外国餐厅;西餐厅(综合风味),4.8,352,0.8182
西湖区,9,竹哩·栩(万科中心店),餐饮服务;外国餐厅;日本料理|餐饮服务;冷饮店;冷饮店,4.8,411,0.7972
西湖区,10,一席地·本地鸡窝(金田店),餐饮服务;中餐厅;火锅店,4.7,55,1.1676
钱塘区,1,海底捞火锅(下沙银泰百货店),餐饮服务;中餐厅;火锅店,4.8,120,1.0009
钱塘区,2,芳芳跷脚牛肉 (高沙店),餐饮服务;中餐厅;中餐厅,4.7,50,1.1954
钱塘区,3,荆九爷爆炒桥头三嫩(下沙店),餐饮服务;中餐厅;中餐厅,4.7,57,1.1575
钱塘区,4,幸福年铁锅炖熏酱小酒馆(高沙店),餐饮服务;餐饮相关场所;餐饮相关,4.7,57,1.1575
钱塘区,5,老嘎达东北菜(原东北菜馆高沙店),餐饮服务;中餐厅;东北菜,4.7,61,1.1388
钱塘区,6,哈尔滨东北家常菜美玲家,餐饮服务;中餐厅;中餐厅,4.7,64,1.1259
钱塘区,7,广源东北菜(文创大厦店),餐饮服务;中餐厅;东北菜,4.7,66,1.1178
钱塘区,8,老地方川菜(元成东盛家园店),餐饮服务;中餐厅;四川菜(川菜),4.7,67,1.1139
钱塘区,9,東大方(杭州金沙湖店),餐饮服务;餐饮相关场所;餐饮相关,4.7,68,1.11
钱塘区,10,川霸川菜,餐饮服务;中餐厅;四川菜(川菜)|餐饮服务;中餐厅;火锅店,4.7,68,1.11
