type,类型内排名,name,adname,rating,cost,性价比
餐饮服务;中餐厅;东北菜|餐饮服务;中餐厅;特色/地方风味餐厅|住宿服务;宾馆酒店;宾馆酒店,1,芳达烧烤·东北菜(武林旗舰店),拱墅区,4.6,64,1.102
餐饮服务;中餐厅;中餐厅,1,老秦凉都黄牛肉馆(滨江总店),滨江区,4.9,78,1.1214
餐饮服务;中餐厅;中餐厅,2,老秦凉都黄牛肉馆(萧山店),萧山区,4.9,83,1.1059
餐饮服务;中餐厅;中餐厅,3,老秦凉都黄牛肉馆(市心北路店),萧山区,4.9,85,1.1
餐饮服务;中餐厅;中餐厅,4,肉本家·炭烤肉(滨江东和时代店),滨江区,4.9,106,1.0486
餐饮服务;中餐厅;中餐厅,5,乔村二十八道(钱江世纪城店),萧山区,4.9,166,0.9574
餐饮服务;中餐厅;中餐厅,6,江渔儿成都冷锅鱼(浙港国际店),西湖区,4.8,66,1.1416
餐饮服务;中餐厅;中餐厅,7,荆九爷爆炒桥头三嫩(东站店),上城区,4.8,67,1.1376
餐饮服务;中餐厅;中餐厅,8,周姐焦烤鸡架·东北烧烤夜宵,滨江区,4.8,77,1.1017
餐饮服务;中餐厅;中餐厅,9,老秦凉都黄牛肉馆(星耀城店),滨江区,4.8,80,1.0923
餐饮服务;中餐厅;中餐厅,10,叶老头碳炉草本鸡煲(杭州滨江店),滨江区,4.8,86,1.0748
餐饮服务;中餐厅;中餐厅|体育休闲服务;体育休闲服务场所;体育休闲服务场所,1,大陈小院,西湖区,4.7,81,1.0666
餐饮服务;中餐厅;中餐厅|商务住宅;商务住宅相关;商务住宅相关,1,印象临安(城东店),临安区,4.7,97,1.0251
餐饮服务;中餐厅;四川菜(川菜),1,荆九爷爆炒桥头三嫩(滨江店),滨江区,4.8,55,1.1924
餐饮服务;中餐厅;四川菜(川菜),2,阿英川菜馆(丰潭路店),拱墅区,4.8,80,1.0923
餐饮服务;中餐厅;四川菜(川菜),3,照云川菜(萧山店),萧山区,4.8,96,1.0492
餐饮服务;中餐厅;四川菜(川菜),4,山野饭堂.融合家常菜(滨江店),滨江区,4.7,47,1.2141
餐饮服务;中餐厅;四川菜(川菜),5,老地方川菜(元成东盛家园店),钱塘区,4.7,67,1.1139
餐饮服务;中餐厅;四川菜(川菜),6,川味泡菜馆(黄姑山路店),西湖区,4.7,69,1.1063
餐饮服务;中餐厅;四川菜(川菜),7,柴米夫妻四川自贡盐帮菜(新塘店),上城区,4.7,71,1.099
餐饮服务;中餐厅;四川菜(川菜),8,晚酒·阿英川菜馆(奥体金帝店),萧山区,4.7,74,1.0886
餐饮服务;中餐厅;四川菜(川菜),9,摆笼酸菜鱼庄·精品川菜(拱秀路店),萧山区,4.7,76,1.082
餐饮服务;中餐厅;四川菜(川菜),10,幺妹鱼庄(元成时代广场店),钱塘区,4.7,79,1.0726
餐饮服务;中餐厅;四川菜(川菜)|餐饮服务;中餐厅;浙江菜,1,老吴家·老杭州菜·川菜(西湖湖滨店),上城区,4.5,63,1.082
餐饮服务;中餐厅;四川菜(川菜)|餐饮服务;中餐厅;浙江菜,2,一路吃·新杭州杭帮菜菜馆(音乐喷泉店),上城区,4.5,65,1.0741
餐饮服务;中餐厅;四川菜(川菜)|餐饮服务;中餐厅;火锅店,1,川霸川菜,钱塘区,4.7,68,1.11
餐饮服务;中餐厅;安徽菜(徽菜),1,徽姐姐徽菜·臭鳜鱼(海蓝·天行国际店),拱墅区,4.7,68,1.11
餐饮服务;中餐厅;安徽菜(徽菜),2,大鱼徽州·皖南家宴(东站德信店),上城区,4.7,88,1.0471
餐饮服务;中餐厅;安徽菜(徽菜),3,卢家·皖掌柜(杭州首店),拱墅区,4.7,88,1.0471
餐饮服务;中餐厅;安徽菜(徽菜),4,徽商故里(杭州店),西湖区,4.7,117,0.9852
餐饮服务;中餐厅;安徽菜(徽菜),5,披云徽府(杭州徽商大厦店),拱墅区,4.7,180,0.9041
餐饮服务;中餐厅;安徽菜(徽菜),6,徽灶头·安徽土菜(三墩店),西湖区,4.6,60,1.119
餐饮服务;中餐厅;安徽菜(徽菜),7,忆浙西·浙西农家菜(龙岗店),临安区,4.6,79,1.0497
餐饮服务;中餐厅;安徽菜(徽菜),8,沈厨臭鳜鱼·山野徽州土菜(高德置地店),上城区,4.6,98,1.0011
餐饮服务;中餐厅;安徽菜(徽菜),9,老安徽砂锅(新民街店),临安区,4.5,28,1.3364
餐饮服务;中餐厅;安徽菜(徽菜),10,小菜园新徽菜(杭州江干天虹店),上城区,4.5,55,1.1179
餐饮服务;中餐厅;广东菜(粤菜),1,娃哈哈同乐舫(庆春店),上城区,4.8,131,0.983
餐饮服务;中餐厅;广东菜(粤菜),2,吾庐有闲,余杭区,4.8,150,0.9567
餐饮服务;中餐厅;广东菜(粤菜),3,点都德(杭州中心店),拱墅区,4.7,86,1.0524
餐饮服务;中餐厅;广东菜(粤菜),4,点都德(奥体印象城店),萧山区,4.7,86,1.0524
餐饮服务;中餐厅;广东菜(粤菜),5,点都德(杭州湖滨in77店),上城区,4.7,88,1.0471
餐饮服务;中餐厅;广东菜(粤菜),6,粤见粤发(拱墅店),拱墅区,4.7,104,1.0099
餐饮服务;中餐厅;广东菜(粤菜),7,江粤宴?江粤臻宴·品鲜融合,上城区,4.7,116,0.9869
餐饮服务;中餐厅;广东菜(粤菜),8,粤顺·顺德菜(迪凯?城星国际店),上城区,4.7,117,0.9852
餐饮服务;中餐厅;广东菜(粤菜),9,粤顺餐馆(赞成中心店),上城区,4.7,131,0.9626
餐饮服务;中餐厅;广东菜(粤菜),10,粤顺本味顺德(滨江店),滨江区,4.7,145,0.9431
餐饮服务;中餐厅;广东菜(粤菜)|餐饮服务;中餐厅;海鲜酒楼,1,唐宫·粤菜海鲜(杭州万象城店),上城区,4.7,147,0.9405
餐饮服务;中餐厅;广东菜(粤菜)|餐饮服务;中餐厅;海鲜酒楼,2,龍码头·螃蟹王(杭州首店),拱墅区,4.7,350,0.8019
餐饮服务;中餐厅;浙江菜,1,東大方(杭州西城新座店),西湖区,4.7,68,1.11
餐饮服务;中餐厅;浙江菜,2,東大方(华瑞汇金中心店),萧山区,4.7,68,1.11
餐饮服务;中餐厅;浙江菜,3,衢八鲜?开化山水菜,上城区,4.7,71,1.099
餐饮服务;中餐厅;浙江菜,4,洪星渔庄·临平菜(星万里店),临平区,4.7,75,1.0853
餐饮服务;中餐厅;浙江菜,5,陈记饭店(八卦新村店),上城区,4.7,82,1.0636
餐饮服务;中餐厅;浙江菜,6,滋味渊·匠心桐庐菜(景芳店),上城区,4.7,91,1.0394
餐饮服务;中餐厅;浙江菜,7,新周记·巷子里的江南味(庆春店),上城区,4.7,93,1.0345
餐饮服务;中餐厅;浙江菜,8,马灯部落-杭帮创意菜(杭州西湖虎跑店),西湖区,4.7,100,1.0184
餐饮服务;中餐厅;浙江菜,9,四灶儿·地道杭帮菜(湖墅南路店),拱墅区,4.7,102,1.0141
餐饮服务;中餐厅;浙江菜,10,李白图书馆餐厅(秋涛北路店),上城区,4.7,125,0.9718
餐饮服务;中餐厅;浙江菜|餐饮服务;中餐厅;江苏菜,1,外婆家(杭州金沙印象城店),钱塘区,4.6,55,1.1428
餐饮服务;中餐厅;浙江菜|餐饮服务;中餐厅;海鲜酒楼,1,厨禾海鲜·精致浙菜(临平店),临平区,4.7,120,0.98
餐饮服务;中餐厅;浙江菜|餐饮服务;中餐厅;海鲜酒楼,2,龙虾小弟,上城区,4.6,179,0.8858
餐饮服务;中餐厅;浙江菜|餐饮服务;中餐厅;特色/地方风味餐厅,1,吴记餐厅·杭帮菜·私房菜(西湖湖滨店),上城区,4.6,72,1.0721
餐饮服务;中餐厅;海鲜酒楼,1,黄龙海鲜大排档(杭州总店),西湖区,4.9,160,0.9643
餐饮服务;中餐厅;海鲜酒楼,2,黄龙海鲜大排档(三墩店),西湖区,4.8,87,1.0721
餐饮服务;中餐厅;海鲜酒楼,3,环球渔市,余杭区,4.8,90,1.0641
餐饮服务;中餐厅;海鲜酒楼,4,靓靓蒸虾·鲜鱼杂王·鲜货烧烤(武林广场店),拱墅区,4.8,105,1.0293
餐饮服务;中餐厅;海鲜酒楼,5,老纪蚝宅(爱橙街店),余杭区,4.8,109,1.0212
餐饮服务;中餐厅;海鲜酒楼,6,今晚食乜餸海鲜大排档,拱墅区,4.8,118,1.0044
餐饮服务;中餐厅;海鲜酒楼,7,藏鲜工坊(庆春店),上城区,4.8,120,1.0009
餐饮服务;中餐厅;海鲜酒楼,8,東小鲜.舟山小海鲜(钱江世纪城店),萧山区,4.8,143,0.9658
餐饮服务;中餐厅;海鲜酒楼,9,德悦东海怡品海鲜姿造(萧山金城路店),萧山区,4.8,151,0.9554
餐饮服务;中餐厅;海鲜酒楼,10,德悦悦品海鲜姿造·海鲜和牛火锅·商务宴·家宴(滨江长河店),滨江区,4.8,168,0.9357
餐饮服务;中餐厅;海鲜酒楼|住宿服务;宾馆酒店;宾馆酒店,1,德悦海鲜·包厢宴会(杭州滨江店),滨江区,4.7,129,0.9656
餐饮服务;中餐厅;海鲜酒楼|餐饮服务;中餐厅;广东菜(粤菜),1,活蹦乱跳海鲜餐厅(丁桥店),上城区,4.8,150,0.9567
餐饮服务;中餐厅;海鲜酒楼|餐饮服务;中餐厅;广东菜(粤菜)|公司企业;公司;公司,1,钜丰源·粤宫1998,上城区,4.7,277,0.8352
餐饮服务;中餐厅;海鲜酒楼|餐饮服务;中餐厅;浙江菜,1,新滨安·钱塘江鲜·萧山菜·杭帮菜名店(滨江店),滨江区,4.7,188,0.8966
餐饮服务;中餐厅;海鲜酒楼|餐饮服务;中餐厅;火锅店,1,拙大师·龙虾四季排档(杭州北景园店),拱墅区,4.7,113,0.9924
餐饮服务;中餐厅;海鲜酒楼|餐饮服务;中餐厅;火锅店,2,七欣天(杭州西联广场店),拱墅区,4.6,129,0.945
餐饮服务;中餐厅;海鲜酒楼|餐饮服务;中餐厅;火锅店,3,舟山海鲜烧烤(杭州总店),上城区,4.5,35,1.2557
餐饮服务;中餐厅;海鲜酒楼|餐饮服务;中餐厅;特色/地方风味餐厅,1,虾蟹工坊龙虾馆(阅城新座店),拱墅区,4.5,130,0.923
餐饮服务;中餐厅;海鲜酒楼|餐饮服务;中餐厅;综合酒楼,1,藏鲜工坊(朝晖店),拱墅区,4.7,120,0.98
餐饮服务;中餐厅;清真菜馆,1,穆羊客清真火锅烤肉一体,上城区,4.7,69,1.1063
餐饮服务;中餐厅;湖南菜(湘菜),1,湘香蒸菜馆(湘湖路店),萧山区,4.9,83,1.1059
餐饮服务;中餐厅;湖南菜(湘菜),2,巷子里湘菜馆(八年湘守),拱墅区,4.7,45,1.2276
餐饮服务;中餐厅;湖南菜(湘菜),3,小湘村湘菜(滨兴小区东区店),滨江区,4.7,50,1.1954
餐饮服务;中餐厅;湖南菜(湘菜),4,大嘴巴湘菜馆·干煸小龙虾(奥体店),萧山区,4.7,50,1.1954
餐饮服务;中餐厅;湖南菜(湘菜),5,湘约屋坎上·土家民族菜·不改湘西味(三花国际总店),上城区,4.7,57,1.1575
餐饮服务;中餐厅;湖南菜(湘菜),6,湘辣湘食·湘菜馆(市心北路店),萧山区,4.7,68,1.11
餐饮服务;中餐厅;湖南菜(湘菜),7,吃饭皇帝大·土家民族菜(城西银泰城店),拱墅区,4.7,80,1.0695
餐饮服务;中餐厅;湖南菜(湘菜),8,湘之荷·品质湘菜,拱墅区,4.7,118,0.9834
餐饮服务;中餐厅;湖南菜(湘菜),9,湘之荷·湖南会馆,西湖区,4.7,325,0.8122
餐饮服务;中餐厅;湖南菜(湘菜),10,小苏哥·湘菜(杭行荟店),余杭区,4.6,48,1.182
餐饮服务;中餐厅;湖南菜(湘菜)|餐饮服务;冷饮店;冷饮店,1,吃饭皇帝大·土家民族菜(印力汇德隆杭州奥体印象城店),萧山区,4.7,84,1.0579
餐饮服务;中餐厅;潮州菜,1,老谢潮州菜(香积寺路店),拱墅区,4.8,112,1.0154
餐饮服务;中餐厅;潮州菜,2,潮来福潮汕牛肉店(元华旺座中心店),上城区,4.7,90,1.0419
餐饮服务;中餐厅;潮州菜,3,潮东东(九鼎·名仕顿商务楼店),拱墅区,4.7,135,0.9567
餐饮服务;中餐厅;潮州菜,4,潮中人潮州菜(蓝海时代国际大厦写字楼店),西湖区,4.7,150,0.9368
餐饮服务;中餐厅;潮州菜,5,西溪芦庄,余杭区,4.7,392,0.7868
餐饮服务;中餐厅;潮州菜,6,潮中人潮州菜(古墩路店),西湖区,4.6,120,0.9592
餐饮服务;中餐厅;潮州菜,7,观言·鎏金(杭州湖滨in77A区北区店),上城区,4.6,554,0.728
餐饮服务;中餐厅;潮州菜|餐饮服务;中餐厅;海鲜酒楼,1,佳友记·潮汕海鲜砂锅粥,萧山区,4.7,112,0.9942
餐饮服务;中餐厅;火锅店,1,朱富贵火锅(杭州中大银泰店),拱墅区,4.9,116,1.0289
餐饮服务;中餐厅;火锅店,2,朱富贵火锅(杭州拱墅万达店),拱墅区,4.9,120,1.0217
餐饮服务;中餐厅;火锅店,3,小牛滚滚贵州黄牛肉火锅(中财店),滨江区,4.8,71,1.1224
餐饮服务;中餐厅;火锅店,4,鸟鸟好吃店·成都土砂锅串串(杭州总店),萧山区,4.8,75,1.1084
餐饮服务;中餐厅;火锅店,5,宽马记大排档·热鲜牛肉海鲜火锅(杭州首店),富阳区,4.8,90,1.0641
餐饮服务;中餐厅;火锅店,6,海底捞火锅(杭州天虹购物中心店),上城区,4.8,120,1.0009
餐饮服务;中餐厅;火锅店,7,海底捞火锅(杭州萧山归谷中心店),萧山区,4.8,120,1.0009
餐饮服务;中餐厅;火锅店,8,海底捞火锅(杭州萧山银隆百货店),萧山区,4.8,120,1.0009
餐饮服务;中餐厅;火锅店,9,海底捞火锅(杭州萧山金城路店),萧山区,4.8,120,1.0009
餐饮服务;中餐厅;火锅店,10,海底捞火锅(杭州滨江中南乐游城店),滨江区,4.8,120,1.0009
餐饮服务;中餐厅;火锅店|体育休闲服务;体育休闲服务场所;体育休闲服务场所,1,海底捞火锅(铂澜大象城店),西湖区,4.7,120,0.98
餐饮服务;中餐厅;火锅店|餐饮服务;中餐厅;四川菜(川菜),1,川味观(凤起店),拱墅区,4.7,80,1.0695
餐饮服务;中餐厅;火锅店|餐饮服务;中餐厅;海鲜酒楼,1,观炉·海鲜姿造·大事之选,萧山区,4.8,489,0.7749
餐饮服务;中餐厅;火锅店|餐饮服务;中餐厅;海鲜酒楼,2,七欣天(临平星火南路店),临平区,4.7,129,0.9656
餐饮服务;中餐厅;火锅店|餐饮服务;中餐厅;西北菜,1,西北羊肉馆羊蝎子火锅烧烤(万邦大楼店),上城区,4.7,74,1.0886
餐饮服务;中餐厅;火锅店|餐饮服务;茶艺馆;茶艺馆,1,西溪丽锅·牛肉海鲜火锅·新浙菜,西湖区,4.7,180,0.9041
餐饮服务;中餐厅;特色/地方风味餐厅,1,荆九爷爆炒桥头三嫩(萧山店),萧山区,4.8,55,1.1924
餐饮服务;中餐厅;特色/地方风味餐厅,2,光头龙虾烧烤(信义坊步行街店),拱墅区,4.8,123,0.9958
餐饮服务;中餐厅;特色/地方风味餐厅,3,楠哥煎饺,上城区,4.7,19,1.5689
餐饮服务;中餐厅;特色/地方风味餐厅,4,重庆小天鹅麻辣烫(凤起路店),上城区,4.7,41,1.2575
餐饮服务;中餐厅;特色/地方风味餐厅,5,问疆新疆手抓饭(太平门直街店),上城区,4.7,45,1.2276
餐饮服务;中餐厅;特色/地方风味餐厅,6,137烧烤龙虾烤鱼.新疆羊肉串(南大街店),临平区,4.7,60,1.1433
餐饮服务;中餐厅;特色/地方风味餐厅,7,烤匠麻辣烤鱼(星光大道店),滨江区,4.7,65,1.1218
餐饮服务;中餐厅;特色/地方风味餐厅,8,烤匠麻辣烤鱼(杭州远洋乐堤港店),拱墅区,4.7,65,1.1218
餐饮服务;中餐厅;特色/地方风味餐厅,9,凯旋烧烤(凯旋路),上城区,4.7,74,1.0886
餐饮服务;中餐厅;特色/地方风味餐厅,10,带你去趟佳木斯·非遗烧烤(杭州首店),萧山区,4.7,81,1.0666
餐饮服务;中餐厅;特色/地方风味餐厅|餐饮服务;中餐厅;东北菜,1,东北印象餐厅(莫干山路店),西湖区,4.6,52,1.1586
餐饮服务;中餐厅;特色/地方风味餐厅|餐饮服务;中餐厅;四川菜(川菜),1,烤匠麻辣烤鱼(in77店),上城区,4.6,65,1.0979
餐饮服务;中餐厅;特色/地方风味餐厅|餐饮服务;中餐厅;四川菜(川菜),2,四川老头烤鱼龙虾川菜馆(智格店),钱塘区,4.5,68,1.0628
餐饮服务;中餐厅;特色/地方风味餐厅|餐饮服务;中餐厅;四川菜(川菜),3,正宗万州烤魚烧烤小龙虾,滨江区,4.5,74,1.0423
餐饮服务;中餐厅;福建菜,1,席作·福建会馆(杭州高德置地广场店),上城区,4.7,441,0.7716
餐饮服务;中餐厅;综合酒楼,1,西湖D11,拱墅区,4.7,56,1.1625
餐饮服务;中餐厅;综合酒楼,2,天香楼(延安路店),拱墅区,4.7,100,1.0184
餐饮服务;中餐厅;综合酒楼,3,三个蒙古大叔(朝龙汇D+PARK店),萧山区,4.7,107,1.0038
餐饮服务;中餐厅;综合酒楼,4,宝中宝食府,上城区,4.7,127,0.9687
餐饮服务;中餐厅;综合酒楼,5,松花江上·东北小馆(三深国际中心店),西湖区,4.6,64,1.102
餐饮服务;中餐厅;综合酒楼,6,江南驿·二十余年创意杭帮味(运河店),拱墅区,4.6,98,1.0011
餐饮服务;中餐厅;综合酒楼|餐饮服务;中餐厅;浙江菜,1,名人名家·浙菜(秋涛北路店),上城区,4.7,120,0.98
餐饮服务;冷饮店;冷饮店,1,tea'stone喝好茶的店(杭州万象城店),上城区,4.7,73,1.092
餐饮服务;冷饮店;冷饮店,2,晓麟家奶茶(采荷店),上城区,4.6,8,2.0936
餐饮服务;冷饮店;冷饮店,3,晓麟奶茶(近江家园店),上城区,4.6,11,1.8512
餐饮服务;冷饮店;冷饮店,4,布蕾克喝茶工坊(近江五园店),上城区,4.6,23,1.4474
餐饮服务;冷饮店;冷饮店,5,阿嬷手作(杭州万象城店),上城区,4.6,34,1.2938
餐饮服务;冷饮店;冷饮店,6,昙花庵路(蜜雪冰城店),上城区,4.5,7,2.164
餐饮服务;冷饮店;冷饮店,7,弯湾·爱生活茶饮铺(金牛坊店),上城区,4.5,13,1.7052
餐饮服务;咖啡厅;咖啡厅,1,No Coffee無咖,上城区,4.7,43,1.242
餐饮服务;咖啡厅;咖啡厅,2,HELLO COFFEE·咖啡,上城区,4.7,45,1.2276
餐饮服务;咖啡厅;咖啡厅,3,DaP,上城区,4.7,51,1.1895
餐饮服务;咖啡厅;咖啡厅,4,蓝瓶咖啡(杭州万象城店),上城区,4.7,52,1.1838
餐饮服务;咖啡厅;咖啡厅,5,那些年·花园西餐·窑炉披萨(新天地店),临平区,4.7,100,1.0184
餐饮服务;咖啡厅;咖啡厅,6,瑞幸咖啡(501城市广场店),上城区,4.6,13,1.743
餐饮服务;咖啡厅;咖啡厅,7,骑点咖啡 Ride Cafe,上城区,4.6,26,1.3957
餐饮服务;咖啡厅;咖啡厅,8,chofo出伏咖啡,上城区,4.6,27,1.3805
餐饮服务;咖啡厅;咖啡厅,9,Section沙县咖啡(太平门直街店),上城区,4.6,28,1.3661
餐饮服务;咖啡厅;咖啡厅,10,Any.Shell Coffee胡安咖啡(近江南路店),上城区,4.6,30,1.3396
餐饮服务;咖啡厅;咖啡厅|生活服务;生活服务场所;生活服务场所,1,星期八咖啡馆·日咖夜酒(之江店),上城区,4.7,68,1.11
餐饮服务;咖啡厅;星巴克咖啡,1,星巴克(杭州来福士广场店),上城区,4.6,30,1.3396
餐饮服务;咖啡厅;星巴克咖啡,2,星巴克(杭州UDC店),上城区,4.6,30,1.3396
餐饮服务;咖啡厅;星巴克咖啡,3,星巴克(滨江城市之星店),上城区,4.6,30,1.3396
餐饮服务;咖啡厅;星巴克咖啡,4,星巴克(杭州东杭大厦店),上城区,4.6,30,1.3396
餐饮服务;咖啡厅;星巴克咖啡,5,星巴克(杭州大厦501城市广场B1店),上城区,4.6,30,1.3396
餐饮服务;咖啡厅;星巴克咖啡,6,星巴克(新传媒大厦店),上城区,4.6,30,1.3396
餐饮服务;咖啡厅;星巴克咖啡,7,星巴克(杭州五福天虹购物中心店),上城区,4.6,30,1.3396
餐饮服务;咖啡厅;星巴克咖啡,8,星巴克咖啡(杭州优托邦时光1F2F),上城区,4.5,30,1.3104
餐饮服务;咖啡厅;星巴克咖啡,9,星巴克(迪凯银座店),上城区,4.5,30,1.3104
餐饮服务;咖啡厅;星巴克咖啡,10,星巴克臻选杭州万象城店,上城区,4.5,30,1.3104
餐饮服务;咖啡厅;星巴克咖啡|餐饮服务;快餐厅;快餐厅,1,星巴克(杭州嘉华店),西湖区,4.6,30,1.3396
餐饮服务;外国餐厅;外国餐厅,1,NDORA恩哚啦西餐厅,萧山区,4.7,84,1.0579
餐饮服务;外国餐厅;外国餐厅,2,富贵椰Thai Bistro泰式料理(万象城店),上城区,4.7,134,0.9582
餐饮服务;外国餐厅;外国餐厅,3,O'eat Gastronomy(杭州万象城店),上城区,4.7,138,0.9525
餐饮服务;外国餐厅;外国餐厅,4,LANJOLL澜·爵,西湖区,4.7,157,0.9284
餐饮服务;外国餐厅;外国餐厅,5,BROWNSTONE布朗石西班牙餐厅酒吧(杭州万象城店),上城区,4.7,175,0.909
餐饮服务;外国餐厅;外国餐厅,6,牛排家(杭州万象城店),上城区,4.7,318,0.8152
餐饮服务;外国餐厅;外国餐厅,7,山葵村烤肉(滨江星光大道店),滨江区,4.6,85,1.0327
餐饮服务;外国餐厅;外国餐厅,8,casa小屋墨西哥餐厅,西湖区,4.6,112,0.9731
餐饮服务;外国餐厅;外国餐厅,9,BM南法餐厅(杭罐1958店),上城区,4.6,121,0.9575
餐饮服务;外国餐厅;外国餐厅,10,Reallee意大利餐厅,余杭区,4.6,128,0.9465
餐饮服务;外国餐厅;意式菜品餐厅,1,mamala西餐厅(杭州远洋乐堤港店),拱墅区,4.7,226,0.8664
餐饮服务;外国餐厅;意式菜品餐厅,2,萨莉亚意式餐厅(滨江天街店),滨江区,4.6,45,1.2015
餐饮服务;外国餐厅;意式菜品餐厅,3,萨莉亚意式餐厅(龙湖杭州金沙天街店),钱塘区,4.6,52,1.1586
餐饮服务;外国餐厅;意式菜品餐厅,4,萨莉亚意式餐厅(远洋乐堤港A区店),拱墅区,4.6,57,1.1329
餐饮服务;外国餐厅;意式菜品餐厅,5,菲滋意式餐厅(富阳物美店),富阳区,4.6,68,1.0864
餐饮服务;外国餐厅;意式菜品餐厅,6,Angelo's意大利西餐厅(滨江店),滨江区,4.6,125,0.9511
餐饮服务;外国餐厅;意式菜品餐厅,7,萨莉亚意式餐厅(龙湖杭州西溪天街店),西湖区,4.5,46,1.1688
餐饮服务;外国餐厅;意式菜品餐厅,8,萨莉亚意式餐厅(国大城市广场店),拱墅区,4.5,53,1.1281
餐饮服务;外国餐厅;意式菜品餐厅,9,菲滋意式餐厅(萧山瓜沥七彩小镇店),萧山区,4.5,68,1.0628
餐饮服务;外国餐厅;意式菜品餐厅,10,菲滋意式餐厅(萧山加州阳光二店),萧山区,4.5,68,1.0628
餐饮服务;外国餐厅;意式菜品餐厅|餐饮服务;外国餐厅;西餐厅(综合风味),1,菲滋意式餐厅(杭州五福天虹店),上城区,4.5,68,1.0628
餐饮服务;外国餐厅;日本料理,1,东京烧肉Itimaru(屏风街店),拱墅区,4.9,165,0.9585
餐饮服务;外国餐厅;日本料理,2,金匠寿司(宝龙城店),滨江区,4.8,89,1.0667
餐饮服务;外国餐厅;日本料理,3,AJIYA味屋日式烤肉(开元路店),上城区,4.8,158,0.947
餐饮服务;外国餐厅;日本料理,4,东京烧肉Itimaru(杭州解百A座店),上城区,4.8,163,0.9412
餐饮服务;外国餐厅;日本料理,5,月龙吟(悦坊商场店),上城区,4.8,349,0.8194
餐饮服务;外国餐厅;日本料理,6,竹哩(滨江店),滨江区,4.8,397,0.8018
餐饮服务;外国餐厅;日本料理,7,月龍吟(朝龙汇D+PARK店),萧山区,4.8,425,0.7928
餐饮服务;外国餐厅;日本料理,8,月龍吟(星澜里店),滨江区,4.8,451,0.7851
餐饮服务;外国餐厅;日本料理,9,满丼肉剧场,拱墅区,4.7,39,1.2741
餐饮服务;外国餐厅;日本料理,10,小满烧鸟·居酒屋(杭州之翼店),上城区,4.7,80,1.0695
餐饮服务;外国餐厅;日本料理|体育休闲服务;娱乐场所;酒吧,1,苍蝇酒肉馆(国都公寓店),拱墅区,4.7,120,0.98
餐饮服务;外国餐厅;日本料理|生活服务;生活服务场所;生活服务场所,1,小林刺身(朝晖店),拱墅区,4.7,99,1.0206
餐饮服务;外国餐厅;日本料理|餐饮服务;冷饮店;冷饮店,1,竹哩·栩(万科中心店),西湖区,4.8,411,0.7972
