keytag,type,typecode,adname,tel,address,pname,biz_type,cityname,atag,name,location,rating,cost
火锅,餐饮服务;中餐厅;火锅店,050117,上城区,0571-81965617,新业路228号来福士广场4楼L4-20号,浙江省,diner,杭州市,"鲜牛杂鸳鸯锅,吊龙,牛肉饼,炸腐皮,嫩肉,风味牛舌,薏米马蹄水,五花腱,匙皮肉,双丸拼盘,脚趾肉,肥胼,箭笋片,牛肉春卷,潮汕牛肉片,牛肉",左庭右院鲜牛肉火锅(来福士店),"120.212938,30.249633",4.6,133
闽菜,餐饮服务;中餐厅;福建菜,050110,上城区,0571-87016799,解放东路45号高德置地广场A1幢58楼席作·福建会馆,浙江省,diner,杭州市,"佛跳墙,小酥肉,芋泥,麻油姜母鸭煎南日鲍,鸭肉,福建会馆佛跳墙,特色菜,芋头,蟹肉,鲍鱼,麻薯",席作·福建会馆(杭州高德置地广场店),"120.209135,30.243534",4.7,441
火锅,餐饮服务;中餐厅;火锅店,050117,上城区,0571-85033577;17706718982,杭州来福士中心7层(星光嘉映影城对面),浙江省,diner,杭州市,双人餐,南马道斑鱼鲜火锅(杭州来福士中心店),"120.213161,30.248700",4.5,120
小吃快餐,餐饮服务;快餐厅;肯德基,050301,上城区,021-59097778,江干区来福士广场BF,浙江省,diner,杭州市,"海苔岩烧大鸡腿饭,黄金鸡块,鸡米花,KFC芋缘花淇淋,葡式蛋挞,芋缘花淇淋,KFC香辣（劲脆）鸡腿堡,吮指原味鸡,可乐,香辣鸡翅,肯大大鸡排,红豆派,小食拼盘,蔬菜沙拉,醇香土豆泥,薯条,玉米沙拉,伴柠伴桔鲜果茶,现磨咖啡,新奥尔良烤鸡腿堡,KFC老北京鸡肉卷,双人餐,汉堡,鸡肉,下午茶,单人餐",肯德基(杭州来福士店),"120.213034,30.248269",4.4,29
浙菜,餐饮服务;中餐厅;中餐厅,050100,上城区,0571-87033008,解放东路18号钱江新城市民中心H座南区F1层,浙江省,diner,杭州市,[],杭州酒家(钱江新城市民中心店),"120.210275,30.245375",4.5,67
江浙菜,餐饮服务;中餐厅;浙江菜,050106,上城区,0571-85025766,新业路228号来福士中心04层02号,浙江省,diner,杭州市,"卤大肠,雪菜冬笋蘑菇肉片,虾爆鳝,小笼包,叫花鸡,龙井虾仁,青豆,千岛湖酱鱼头,冬笋肉丝,桂花糖年糕,甜豆,带鱼,雪花肥牛,老鸭煲,馋嘴蛙,大肠,家常菜,东坡肉,臭豆腐,牛肉",杭儿风餐厅(来福士店),"120.212933,30.248010",4.6,135
江浙菜,餐饮服务;餐饮相关场所;餐饮相关,050000,上城区,0571-85365282;18432566956,新业路228号杭州来福士中心6楼,浙江省,diner,杭州市,宁波菜,阿毛饭店·传统宁波菜(杭州来福士中心店),"120.213032,30.248772",4.7,104
湘菜,餐饮服务;中餐厅;中餐厅,050100,上城区,18157159089,新业路228号杭州来福士中心7F层,浙江省,diner,杭州市,双人餐,王胜利长沙家菜馆(杭州首店),"120.213261,30.248366",4.6,54
日本料理,餐饮服务;外国餐厅;日本料理,050202,上城区,15657188942,四季青街道高德置地中心3幢101室L5层505号,浙江省,diner,杭州市,[],鮨冠omakase(杭州首店),"120.208337,30.243796",4.6,1020
小吃快餐,餐饮服务;快餐厅;快餐厅,050300,上城区,021-59097778,江干区四季青街道解放东路8号砂之船奥特莱斯人马街030号,浙江省,diner,杭州市,"下午茶,双人餐,薯条,单人餐,汉堡",肯德基(杭州砂之船奥莱店),"120.212065,30.244229",4.3,24
海鲜,餐饮服务;中餐厅;特色/地方风味餐厅,050118,上城区,0571-87325661,新业路228号来福士中心B1层15/16号,浙江省,diner,杭州市,"双人餐,杨枝甘露",杭越小鲜(杭州来福士中心店),"120.212586,30.248301",4.6,144
面馆,餐饮服务;中餐厅;中餐厅,050100,上城区,18969167090,新业路228号来福士中心T2栋负一楼,浙江省,diner,杭州市,重庆小面,鸟鸟私房面(来福士臻选店),"120.213412,30.248543",4.5,25
江浙菜,餐饮服务;中餐厅;海鲜酒楼,050119,上城区,19012818668,新业路228号来福士中心04层35号,浙江省,diner,杭州市,"年糕,小海鲜",向东海·台州菜·小海鲜(杭州来福士中心店),"120.213747,30.248567",4.6,121
西式快餐,餐饮服务;快餐厅;快餐厅,050300,上城区,4009200205,解放路45号高德置地广场3幢101室一层L125单元,浙江省,diner,杭州市,"巨无霸汉堡,安格斯系列,麦辣鸡腿堡,板烧美味三件套,大脆鸡扒麦满分组合,人气美味尽享套餐,麦辣美味三件套,原味板烧鸡腿麦满分组合,可乐鸡翅,麦当劳超值嗨餐,（2-3人餐）,家有金桶（汉堡版）,家有金桶（脆鸡版）,双人餐,薯条,汉堡",麦当劳(杭州高德置地广场餐厅),"120.208103,30.242377",4.5,27
日本料理,餐饮服务;外国餐厅;日本料理,050202,上城区,0571-86891889,民心路280号平安金融中心悦坊商场4楼401、402,浙江省,diner,杭州市,"刺身,寿司,自助餐,三文鱼,芝士,牛肉,鹅肝,龙虾",月龙吟(悦坊商场店),"120.213225,30.251446",4.8,349
烧烤,餐饮服务;中餐厅;特色/地方风味餐厅,050118,上城区,18969089703,四季青街道民心路280号平安悦坊PAFCLIVING108A-110B,浙江省,diner,杭州市,[],木屋烧烤(上城平安金融中心店),"120.212461,30.251847",4.5,82
粤菜,餐饮服务;中餐厅;火锅店,050117,上城区,18905819171,新业路228号来福士中心4F,浙江省,diner,杭州市,"点心,牛肉,虾仁,肠粉,鸡肉,广式腊味煲仔饭,红米脆皮鲜虾肠粉,蝴蝶里虾饺皇",蝴蝶里(杭州来福士店),"120.212819,30.249454",4.6,65
西餐,餐饮服务;外国餐厅;牛扒店(扒房),050211,上城区,0571-86953312,平安中心,浙江省,diner,杭州市,"单人餐,牛排",王品牛排(杭州平安悦坊店),"120.212891,30.251051",4.7,246
浙菜,餐饮服务;中餐厅;浙江菜,050106,上城区,0571-56966666,新业路228号杭州康莱德酒店50层,浙江省,diner,杭州市,"龙虾,鸡肉",杭州康莱德酒店·里安(新业路店),"120.213748,30.248923",4.6,703
粤菜,餐饮服务;餐饮相关场所;餐饮相关,050000,上城区,0571-88887770;19357068661,来福士中心T2幢天璟5401室,浙江省,diner,杭州市,"酸辣苏格兰蓝龙,四季至尊一品煲,卤水36个月老鹅头,粥水浸蚌仔,玻璃脆皮乳鸽,梅菜肉松扣花胶,实心海参拌老虎菜,潮汕生腌小青龙,古法扣澳洲大鲜鲍,奶油,花胶,鹅肝,拌饭,杨枝甘露,鲍鱼",瑞四季·新潮粤菜(杭州来福士中心店),"120.213767,30.248869",4.6,587
中餐,餐饮服务;中餐厅;中餐厅,050100,上城区,18067979597,杭州来福士T2幢52楼,浙江省,diner,杭州市,"拌饭,烤鸭,红烧肉,臭豆腐,牛肉,螃蟹",湖上牧云(杭州来福士中心店),"120.213889,30.248994",4.6,518
西式快餐,餐饮服务;餐饮相关场所;餐饮相关,050000,上城区,0571-88492875,平安悦坊(江锦路地铁站B1口步行390米),浙江省,diner,杭州市,"双人餐,薯条",麦当劳(悦坊商场店),"120.212838,30.250812",4.5,32
日本料理,餐饮服务;外国餐厅;日本料理,050202,上城区,0571-87920618,新业路228号来福士L4-21-23,浙江省,diner,杭州市,寿司,寿司郎(杭州来福士店),"120.213012,30.249549",4.4,107
川味小吃,餐饮服务;中餐厅;中餐厅,050100,上城区,17816079713,四季青街道高德置地广场A3栋商场3层317号,浙江省,diner,杭州市,冒菜,孔岳冒菜(高德置地店),"120.207318,30.242946",4.5,47
私房菜,餐饮服务;中餐厅;海鲜酒楼,050119,上城区,0571-88212728,来福士T2天璟55楼(康莱德酒店边厅电梯),浙江省,diner,杭州市,"香煎带子,溏心两头鲍,金露雪蛤,沙蒜豆面,安格斯牛肉粒,冲浪西施舌,小米辽参,樱花虾,炸鲳鱼,和牛芝香挞,酸菜望潮,香煎鲳鱼,原味蒸蛏,火炙黄金螺,点心,黄油",杭台荟·台州海鲜(杭州来福士中心店),"120.213794,30.248886",4.6,414
湘菜,餐饮服务;中餐厅;湖南菜(湘菜),050108,上城区,19032216930,新业路228号来福士中心5楼21号(西贝楼上塔哈尔新疆菜对面),浙江省,diner,杭州市,"现切现炒吊龙,湘式跳跳蛙,高压锅虎皮凤爪（特辣）,擂椒茄子皮蛋,现切现炒黄牛肉,湘味烤鸭,下饭鸡杂,手工脆笋炒腊肉,现切现炒五花趾,农家柴火香干,老坛剁椒鱼头,铁板韭菜鱿鱼,砂锅花菜,五常大米饭,酸菜鱼,香辣大明虾,酸菜炒肥肠,辣椒炒肉,吊龙,特色菜,鸡肉,小炒黄牛肉,现切现炒黄牛肉,豆腐,麻婆豆腐,黄牛肉,辣椒炒肉",鹊拾湘·金奖现炒黄牛肉(杭州来福士店),"120.213299,30.249168",4.5,75
江浙菜,餐饮服务;中餐厅;浙江菜|生活服务;美容美发店;美容美发店,050106|071100,上城区,13866250357;17398046263,新业路228号来福士中心4F28号,浙江省,diner,杭州市,"咸蛋黄鸡翅,糖醋里脊,高山活水煮活鱼,秘制铁板鲈鱼,铁板豆腐,孜然羊肉,第二代家常豆腐,下次还想吃油豉虾,凉拌海带,黄豆闷茄夹,青雪菜牛肉,辣椒小炒肉,西湖糖藕,老成都蒜泥白肉,老成都白切肉,柠檬,豆腐,鸡翅,鸡肉,家常菜,年糕,拌饭,酸菜鱼",新发现·甄选(来福士店),"120.213774,30.249073",4.4,65
日本料理,餐饮服务;餐饮相关场所;餐饮相关,050000,上城区,0571-86958626,富春路来福士中心康莱德酒店26层,浙江省,diner,杭州市,"吸物,造里,先付,主厨套餐,冷钵,扬物,强肴,御食,甘味,双人餐",喜鹤楟日料(来福士康莱德酒店),"120.213770,30.248939",4.6,568
西式快餐,餐饮服务;快餐厅;麦当劳,050302,上城区,0571-86439382,解放东路29号(市民中心地铁站N1口步行100米),浙江省,diner,杭州市,"不素之霸双层牛肉堡精选套餐,不素之霸双层牛肉堡,优品豆浆,原味板烧鸡腿麦满分配脆薯饼,双层阿拉斯加狭鳕鱼堡,培根蛋麦煎饼配脆薯饼,墨西哥烧烤风味鸡腿堡,奥利奥原味麦旋风,奥利奥草莓麦旋风,奶油坚果酱蛋牛堡,小食纷享盒,开心乐园餐,开心乐园餐配小薯条,悠享早晨全餐配配鲜煮咖啡,下午茶,汉堡,薯条,鸡肉,双人餐",麦当劳(钱江新城迪凯银座),"120.211276,30.241721",4.5,35
日式烧烤,餐饮服务;外国餐厅;日本料理,050202,上城区,18116032407,701号杭州万象城B2层B268(裕莲茶楼旁边),浙江省,diner,杭州市,"牛肉,牛肉饼,肉饼,奶油,汉堡",肉肉大米(杭州万象城店),"120.215419,30.251300",4.6,84
西餐,餐饮服务;外国餐厅;外国餐厅,050200,上城区,0571-87176166,富春路701号杭州万象城B楼B149号,浙江省,diner,杭州市,"三明治,双人餐,牛排,牛肉,薯条,鸡肉,提拉米苏,蘑菇,下午茶,奶油",O'eat Gastronomy(杭州万象城店),"120.215881,30.251041",4.7,138
江浙菜,餐饮服务;餐饮相关场所;餐饮相关,050000,上城区,0571-86851796,民心路280号平安金融中心悦坊商场4楼403,浙江省,diner,杭州市,"拉菲樱桃鹅肝,波龙麻婆豆腐,椰皇桂圆炖桃胶,葱油江白条,山珍极品牛肉,生醉膏蟹,牛肉,龙虾,豆腐,鸡肉",樨香(钱江新城店),"120.212815,30.251617",4.6,233
粤菜,餐饮服务;中餐厅;中餐厅,050100,上城区,0571-88079588;18958009588,民心路280号杭州平安金融中心B座4层,浙江省,diner,杭州市,"生腌小青龙,贵妃龙虾泡饭,辣汁花螺,小火锅,素菜,蜜汁叉烧,奶油,拿破仑,螃蟹,肥牛",东富酒家(平安金融中心店),"120.212442,30.251655",4.7,450
西餐,餐饮服务;外国餐厅;西餐厅(综合风味),050201,上城区,0571-85236335,民心路280号PAFC LIVING平安悦坊1层112A,浙江省,diner,杭州市,[],BlueFrog 蓝蛙X 臻选,"120.212472,30.251887",4.6,124
粤菜,餐饮服务;中餐厅;中餐厅,050100,上城区,0571-86891980,平安金融中心1、2幢306室、307室,浙江省,diner,杭州市,"鸭肉,烤鸭,虾仁,杨枝甘露",文兴酒家(悦坊商场店),"120.212992,30.251464",4.7,260
浙菜,餐饮服务;中餐厅;中餐厅,050100,上城区,0571-87290561,四季青街道富春路701号杭州万象城L6层L678号商铺,浙江省,diner,杭州市,"家常菜,年糕,特色菜,脆皮大肠,杨枝甘露,特色小吃,豆腐,鸡肉",荣小馆(杭州万象城店),"120.215259,30.251333",4.7,229
西餐,餐饮服务;餐饮相关场所;餐饮相关,050000,上城区,0571-86088806,平安金融中心1-2幢105室A,浙江省,diner,杭州市,"提拉米苏,下午茶,蘑菇,双人餐,牛肉",The boots泥靴City(杭州平安悦坊店),"120.213048,30.251596",4.6,182
江浙菜,餐饮服务;中餐厅;中餐厅,050100,上城区,0571-86082680,富春路701号万象城L3层L342号商铺,浙江省,diner,杭州市,"大红袍卤鸭舌,脆皮青柠牛肉,招牌茶香排骨,八宝海胆豆腐,天目神仙鸡汤,富贵芋头煲,私房黄鱼年糕,京式葱爆羊肉,脆皮茶香乳鸽,功夫牛肉生煎包,梅坞茶香大虾,水煮刀口黄牛肉,鲍鱼生炒竹林鸡,梅干菜蒸江鳗,秘制脆皮卷饼肉,神仙鸡煲,脆皮卷饼肉,宁波黄鱼年糕,牛肉,双人餐,排骨,鸡肉",香芙茗楼(万象城店),"120.215314,30.251130",4.7,151
自助餐,餐饮服务;中餐厅;中餐厅,050100,上城区,18667083559,江锦路与富春路交叉口西北80米,浙江省,diner,杭州市,帝王蟹,雍容荟帝王蟹活龙虾展台自助(杭州万象城黑金店),"120.215725,30.251175",4.7,527
西餐,餐饮服务;外国餐厅;外国餐厅,050200,上城区,0571-86503366;0571-86580566,富春路701号二期万象城斜对面,浙江省,diner,杭州市,"熟成55天极佳级大里脊,美国极佳级牛小排,熟成28天极佳级战斧,炙烤辣魔鬼牛排（果木炙烤）,精品黑椒牛排,经典松露惠灵顿牛排,熟成45天极佳级小战斧,牛肉,单人餐,牛排",牛排家(杭州万象城店),"120.214470,30.252889",4.7,318
小吃快餐,餐饮服务;餐饮相关场所;餐饮相关,050000,上城区,13713866746;18413259401,富春路701号杭州万象城B266号商铺,浙江省,diner,杭州市,"首创现切杭椒牛肉,香菜牛肉拌川,杭州虾仁爆鳝拌川,鲜牛肉,虾爆鳝面,杭州虾仁爆鳝拌川,首创现切杭椒牛肉拌川",椿芽·鲜牛肉杭州拌川(杭州万象城店),"120.215513,30.251753",4.6,46
日式烧烤,餐饮服务;外国餐厅;日本料理,050202,上城区,0571-88891786,富春路701号杭州万象城L3层,浙江省,diner,杭州市,"单人餐,牛肉,烤肉,鸡肉",黑牛的店(杭州万象城店),"120.215246,30.252532",4.5,253
西餐,购物服务;服装鞋帽皮具店;服装鞋帽皮具店|餐饮服务;餐饮相关场所;餐饮相关,061100|050000,上城区,0571-85122162,富春路万象城二期L1层170号商铺,浙江省,[],杭州市,"套餐,鲜果茶,gaga超级沙拉,招牌菜,精选Gaga牛肉沙拉,肉酱意粉,gaga鲜果茶系列,Brunch系列,小资组合,意面,鸡肉,奶油,果茶,沙拉,牛肉,龙虾,下午茶,烤鸡,薯条,香肠",gaga,"120.214427,30.252947",4.7,140
北京菜,餐饮服务;中餐厅;中餐厅,050100,上城区,0571-86551688;0571-86553688,富春路701号杭州万象城L3层,浙江省,diner,杭州市,"烤鸭,烤鸭,北京烤鸭,老北京炸酱面",玖五京菜(杭州万象城店),"120.214647,30.253013",4.7,208
粤菜,餐饮服务;中餐厅;中餐厅,050100,上城区,13067968188,四季青街道富春路701号杭州万象城L338号,浙江省,diner,杭州市,"拌饭,豆腐,丸子,牛肉丸",潮Marée·潮州菜(杭州万象城店),"120.215703,30.251113",4.5,137
东南亚菜,餐饮服务;外国餐厅;外国餐厅,050200,上城区,19357305377,富春路701号杭州万象城S1,浙江省,diner,杭州市,"双人餐,料理",富贵椰Thai Bistro泰式料理(万象城店),"120.214587,30.253292",4.7,134
东北菜,餐饮服务;中餐厅;中餐厅,050100,上城区,18968053267,富春路701号杭州万象城5层L537,浙江省,diner,杭州市,"双人餐,奉天老式锅包肉",奉天小馆·品质东北菜(杭州首店),"120.215937,30.251012",4.6,131
川菜,餐饮服务;中餐厅;火锅店,050117,上城区,4006092822,四季青街道富春路701号万象城购物中心L5层L523商铺,浙江省,diner,杭州市,"泡椒活蛙,螺丝椒小炒肉,香辣活蛙,沸腾麻婆豆腐,牛肉,肥肠,酸菜鱼,双人餐",太二酸菜鱼(杭州万象城店),"120.216011,30.251418",4.5,80
小吃快餐,餐饮服务;快餐厅;快餐厅,050300,上城区,021-59097777,钱江时代广场2幢104室,浙江省,diner,杭州市,"汉堡,披萨,牛肉",必胜客(杭州钱江时代店),"120.205663,30.240722",4.3,38
酒吧,餐饮服务;外国餐厅;外国餐厅,050200,上城区,0571-89705296;98705296,富春路701号杭州万象城B1层东亚银行正下方,浙江省,diner,杭州市,[],BROWNSTONE布朗石西班牙餐厅酒吧(杭州万象城店),"120.215196,30.253081",4.7,175
浙菜,餐饮服务;中餐厅;浙江菜,050106,上城区,0571-85171788,钱江新城城星路8号(城星路地铁站出入口步行290米),浙江省,diner,杭州市,"石锅豆腐,红烧肉,黄鱼,澳洲牛肉,虾仁水晶饺,榴莲酥,芒果西米露,豉汁蒸凤爪,马家沟芹菜,泡菜肥牛,海鲜粉丝,东阳薄饼,东阳沃面,乳鸽,鳕鱼r,寿司,鹅肝",锦香来(钱江新城店),"120.209923,30.239339",4.6,251
江浙菜,餐饮服务;中餐厅;中餐厅,050100,上城区,0571-86065286,富春路万象城6层(江锦路地铁站B3口旁),浙江省,diner,杭州市,"五花肉,大虾,小黄鱼,料理,豆腐,绍兴臭豆腐,干炸臭豆腐,奶油,蛋挞,拌饭,特色菜,鹅肝",醉玖兰亭·精细绍兴菜(杭州万象城店),"120.215810,30.251343",4.6,235
小吃快餐,餐饮服务;快餐厅;快餐厅,050300,上城区,0571-82202461,四季青街道富春路701号杭州万象城二期1层S178、S188号商铺,浙江省,diner,杭州市,"汉堡,薯条",Shake Shack(杭州万象城店),"120.214562,30.253008",4.7,65
自助餐,餐饮服务;外国餐厅;日本料理,050202,上城区,0571-89705797,富春路701号杭州万象城4层(江锦路地铁站B3口旁),浙江省,diner,杭州市,"三文鱼,刺身,鹅肝,单人餐,牛肉,铁板烧",大渔臻选·棠膳(杭州万象城店),"120.216279,30.251467",4.6,274
面馆,餐饮服务;中餐厅;中餐厅,050100,上城区,13167459921,万象城5楼池奈对面(江锦路地铁站B1口步行400米),浙江省,diner,杭州市,本帮面,王繁星面馆(杭州万象城店),"120.216025,30.252049",4.5,38
西餐,餐饮服务;餐饮相关场所;餐饮相关,050000,上城区,0571-89995266,富春路701号杭州万象城二期1层S180号,浙江省,diner,杭州市,[],T-yoogee,"120.214720,30.253186",4.7,114
西式快餐,餐饮服务;快餐厅;快餐厅,050300,上城区,4001597597,四季青街道城星路鑫亚钱江国际时代广场3号楼1层102-2、103室,浙江省,diner,杭州市,"果肉榴莲比萨,经典意式肉酱比萨,金枪鱼海鲜荟萃比萨,经典大阪烧风味海陆比萨,金尊鲍鱼扇贝比萨,照烧风味牛肉土豆比萨,双人餐",达美乐比萨(城星路店),"120.205953,30.239799",4.4,75
中餐,餐饮服务;中餐厅;中餐厅,050100,上城区,0571-87897098,钱江国际时代广场3号楼4楼(城星路地铁站C1口旁),浙江省,diner,杭州市,"牛肉,鸡汤,大包,特色菜",升鼎荟,"120.206078,30.239608",4.7,253
中餐,餐饮服务;中餐厅;中餐厅,050100,上城区,19357677100,富春路701号杭州万象城东门扶梯上二楼2107号商铺(劳力士楼上),浙江省,diner,杭州市,"奶油,黑三剁,鸡肉,牛肉,小锅米线",野果yeego(杭州万象城店),"120.216442,30.251854",4.6,143
海鲜,餐饮服务;中餐厅;海鲜酒楼,050119,上城区,15168227217,城星路89号尊宝大厦F1层,浙江省,diner,杭州市,[],舟舢海鲜小馆·舟山小海鲜(钱江新城店),"120.207838,30.238771",4.6,98
西式快餐,餐饮服务;快餐厅;麦当劳,050302,上城区,0571-86601017,尊宝大厦(城星路地铁站D口步行200米),浙江省,diner,杭州市,"人气美味尽享套餐,原味板烧鸡腿麦满分组合,板烧美味三件套,家有金桶（脆鸡版）,麦辣美味三件套,麦当劳超值嗨餐,（2-3人餐）,大脆鸡扒麦满分组合,家有金桶（汉堡版）,可乐鸡翅,巨无霸汉堡,安格斯系列,麦辣鸡腿堡,双人餐,芝士,薯条,汉堡",麦当劳(杭州麦当劳江干区尊宝大厦餐厅),"120.207978,30.238561",4.4,31
居酒屋,餐饮服务;外国餐厅;日本料理,050202,上城区,19558183134,城星路89号尊宝大厦F1层,浙江省,diner,杭州市,"烧鸟,奶油,居酒屋,鸡肉",尹目·烧鸟居酒屋,"120.207547,30.239063",4.6,144
中餐,餐饮服务;中餐厅;中餐厅,050100,上城区,18958060897,四季青街道之江路1078号城市阳台(西南角),浙江省,diner,杭州市,[],楼外楼(城市阳台店),"120.216349,30.240843",4.5,104
中餐,餐饮服务;中餐厅;中餐厅,050100,上城区,0571-89729700,钱江路1366号杭州柏悦酒店37层,浙江省,diner,杭州市,"炸烹大花虾,桂花糖排,三门膏蟹,澳洲牛肉粒,黄鱼面,石锅海胆老豆腐,龙井焦糖炖蛋,西湖醋鱼,酱油炒饭,辣醉花螺,下午茶,牛肉",杭州柏悦酒店悦轩中餐厅,"120.214952,30.253766",4.7,631
海鲜,餐饮服务;中餐厅;中餐厅,050100,上城区,15558135559,东方君悦大厦西南门2幢一楼,浙江省,diner,杭州市,"松叶蟹,果木烤鸭,鳝丝,十五年陈皮烧甲鱼,金华两头乌红烧肉,油条虾仁,黄贡椒蒸白条,双人餐,杨枝甘露,羊肉,辣椒炒肉,湖南辣椒小炒肉,定胜糕",東喜記·名厨浙宴(钱江店),"120.219795,30.251292",4.7,159
中餐,餐饮服务;中餐厅;中餐厅,050100,上城区,15336579877,市民街99号世包国际中心西2楼,浙江省,diner,杭州市,"牛肉,鸡肉,米粉",瓷·忆赣菜中心(杭州),"120.206014,30.237076",4.8,119
江浙菜,餐饮服务;中餐厅;中餐厅,050100,上城区,0571-88959520;19012828775,钱江新城二号城市阳台,浙江省,diner,杭州市,"鹅肝店头烧,虎跑泉水牛肉,香隐醉膏蟹,燕麦岩米鲍鱼盅,茄汁海苔豆腐,迷迭香鲥鱼,香隐妃子笑,经典黄鱼焖年糕,江南酒香四宝,京味宫爆虾球,双人餐",香隐钱塘(江景餐厅),"120.220242,30.247008",4.6,278
火锅,餐饮服务;中餐厅;火锅店,050117,上城区,0571-28105191;0571-86088832,新塘路108号天虹购物中心A座5楼506号,浙江省,diner,杭州市,"招牌虾滑,番茄锅底,捞派毛肚,精品肥牛,捞派麻辣滑牛肉,牛油麻辣锅底,捞派巴沙鱼片,小酥肉,捞派豆花,炸豆衣卷,捞派黄喉,鸭血,西瓜,番茄火锅,血旺,捞派鸭肠,网红调料,捞派捞面,脱骨鸭掌,猪脑花,自选小料,优品牛肉丸,单人餐,双人餐,牛肉",海底捞火锅(杭州天虹购物中心店),"120.208894,30.264303",4.8,120
海鲜餐厅,餐饮服务;中餐厅;海鲜酒楼,050119,上城区,0571-86959797,新塘路33号华润万家庆春店4层(庆春东路口),浙江省,diner,杭州市,"川汤琵琶虾,榴莲酥,虾蛄,蒜蓉扇贝,广式蒸多宝鱼,象拔蚌赤身,清蒸螃蟹,椒盐土豆牛仔骨,蒜蓉龙虾,白灼基围虾,澳龙三吃（刺身,黄酒蒸梭子蟹,鲍鱼浓汤,北极贝,双人餐",藏鲜工坊(庆春店),"120.207509,30.260091",4.8,120
中餐,餐饮服务;中餐厅;中餐厅,050100,上城区,18258808814,五星路188号荣安中心F1层,浙江省,diner,杭州市,"双人餐,素菜",路小缦·九段厨林(钱江新城店),"120.210149,30.237303",4.6,128
自助餐,餐饮服务;餐饮相关场所;餐饮相关,050000,上城区,18157138062,景昙路18-26号银泰百货6层,浙江省,diner,杭州市,"单人餐,烤肉",姜胖胖韩式自助烤肉(庆春银泰店),"120.204868,30.260025",4.5,79
